ts_data_id,ts_id,dttime,data,version_id
43178252,27372,2018-10-01 00:00:00,360.49454,125
43178253,27372,2018-09-01 00:00:00,360.13477,125
43178254,27372,2018-08-01 00:00:00,359.05545,125
43178255,27372,2018-07-01 00:00:00,360.13477,125
43178256,27373,2019-01-01 00:00:00,19909.705,125
43178257,27373,2018-12-01 00:00:00,15176.304,125
43178258,27373,2018-11-01 00:00:00,15065.774,125
43178259,27373,2018-10-01 00:00:00,15065.007,125
43178260,27373,2018-09-01 00:00:00,14094.892,125
43178261,27373,2018-08-01 00:00:00,14636.469,125
43178262,27373,2018-07-01 00:00:00,14240.139,125
43178263,27373,2018-06-01 00:00:00,14597.062,125
43178264,27373,2018-05-01 00:00:00,13927.163,125
43178265,27373,2018-04-01 00:00:00,13469.871,125
43178266,27373,2018-03-01 00:00:00,19771.568,125
43178267,27373,2018-02-01 00:00:00,18672.242,125
43178268,27373,2018-01-01 00:00:00,19071.441,125
43178269,27373,2022-04-01 00:00:00,13469.871,125
43178270,27373,2022-03-01 00:00:00,19811.111,125
43178271,27373,2022-02-01 00:00:00,18709.586,125
43178272,27373,2022-01-01 00:00:00,19128.713,125
43178273,27373,2021-12-01 00:00:00,14085.763,125
43178274,27373,2021-11-01 00:00:00,14025.168,125
43178275,27373,2021-10-01 00:00:00,14038.478,125
43178276,27373,2021-09-01 00:00:00,13134.519,125
43178277,27373,2021-08-01 00:00:00,13611.916,125
43178278,27373,2021-07-01 00:00:00,13216.895,125
43178279,27373,2021-06-01 00:00:00,13588.856,125
43178280,27373,2021-05-01 00:00:00,12978.192,125
43178281,27373,2021-04-01 00:00:00,12514.453,125
43178282,27373,2021-03-01 00:00:00,18424.334,125
43178283,27373,2021-02-01 00:00:00,17330.455,125
43178284,27373,2021-01-01 00:00:00,17718.686,125
43178285,27373,2020-12-01 00:00:00,13506.91,125
43178286,27373,2020-11-01 00:00:00,13381.749,125
43178287,27373,2020-10-01 00:00:00,13421.264,125
43178288,27373,2020-09-01 00:00:00,12594.731,125
43178289,27373,2020-08-01 00:00:00,13039.497,125
43178290,27373,2020-07-01 00:00:00,12661.074,125
43178291,27373,2020-06-01 00:00:00,13030.398,125
43178292,27373,2020-05-01 00:00:00,12382.768,125
43178293,27373,2020-04-01 00:00:00,12000.173,125
43178294,27373,2020-03-01 00:00:00,17579.1,125
43178295,27373,2020-02-01 00:00:00,16618.295,125
43178296,27373,2020-01-01 00:00:00,16956.592,125
43178297,27373,2019-12-01 00:00:00,15811.707,125
43178298,27373,2019-11-01 00:00:00,15759.463,125
43178299,27373,2019-10-01 00:00:00,15711.446,125
43178300,27373,2019-09-01 00:00:00,14729.161,125
43178301,27373,2019-08-01 00:00:00,15279.8,125
43178302,27373,2019-07-01 00:00:00,14866.093,125
43178303,27373,2019-06-01 00:00:00,15299.737,125
43178304,27373,2019-05-01 00:00:00,14583.022,125
43178305,27373,2019-04-01 00:00:00,14104.167,125
43178306,27373,2019-03-01 00:00:00,20702.611,125
43178307,27373,2019-02-01 00:00:00,19532.006,125
43178308,27374,2019-01-01 00:00:00,2429.326,125
43178309,27374,2018-12-01 00:00:00,2322.3916,125
43178310,27374,2018-11-01 00:00:00,2324.7139,125
43178311,27374,2018-10-01 00:00:00,2317.7468,125
43178312,27374,2018-09-01 00:00:00,2317.7468,125
43178313,27374,2018-08-01 00:00:00,2324.7139,125
43178314,27374,2018-07-01 00:00:00,2327.0364,125
43178315,27374,2018-06-01 00:00:00,2327.0364,125
43178316,27374,2018-05-01 00:00:00,2322.3916,125
43178317,27374,2018-04-01 00:00:00,2317.7468,125
43178318,27374,2018-03-01 00:00:00,2317.7468,125
